row_names,topic,term,beta
62,7,DiceRolling.mechanic,0.10624850100873294
63,7,Simulation.mechanic,0.08903655422468645
64,7,ModernWarfare.category,0.06970838447538832
65,7,SecretUnitDeployment.mechanic,0.06138457414539862
66,7,Miniatures.category,0.05743429127692894
67,7,WorldWarI.category,0.04614776879558697
68,7,Aviation.Flight.category,0.0437493827683018
69,7,Hex.and.Counter.mechanic,0.041633159803050185
70,7,AreaMovement.mechanic,0.025973109860188196
71,8,Auction.Bidding.mechanic,0.13490646096946207
72,8,Trading.mechanic,0.13085331408088557
73,8,SetCollection.mechanic,0.1270534888728452
74,8,Economic.category,0.12515357626882492
75,8,Negotiation.category,0.12426695038694889
76,8,Roll.SpinandMove.mechanic,0.09956808653468609
77,8,Monopoly.family,0.05131030639257261
78,8,Country.USA.family,0.0176185228812808
79,8,USA..family,0.013565375992704338
80,8,StockHolding.mechanic,0.011918785069220148
81,9,Action.Dexterity.category,0.22790150103011872
82,9,Children.sGame.category,0.12573054337009992
83,9,PatternRecognition.mechanic,0.10302588611231799
84,9,Real.time.category,0.09251447071519672
85,9,Puzzle.category,0.06364311642443694
86,9,3DGames.family,0.05004835251082677
87,9,Food.Cooking.family,0.03519221874956202
88,9,Electronic.category,0.03126795700130341
89,9,PatternBuilding.mechanic,0.02692323863715995
90,9,MarbleGames.family,0.017953497498283136
91,10,Ancient.category,0.11693256240144335
92,10,Fighting.category,0.11196033583838842
93,10,VariablePlayerPowers.mechanic,0.0973277833813982
94,10,CollectibleComponents.category,0.0724666505661235
95,10,ComicBook.Strip.category,0.05257774431390377
96,10,Mythology.category,0.049026153911721666
97,10,CCGs.CollectibleCardGames..family,0.04476424542910314
