row_names,document,topic,gamma
191,Battle.for.Moscow..second.edition.,17,0.15
192,A.Victory.Denied,17,0.14754098360655737
193,Cherkassy.Pocket..Encirclement.at.Korsun,17,0.14285714285714285
194,Moscow.1941..The.Enemy.at.the.Gates,17,0.14285714285714285
195,Panzer.Grenadier..Road.to.Berlin,17,0.14285714285714285
196,Four.Roads.to.Moscow,17,0.14285714285714285
197,Paul.Koenig.s.Market.Garden..Arnhem.Bridge,17,0.14285714285714285
198,Green.Hell..Burma.1944.1945.,17,0.14285714285714285
199,Ab.ins.Bett..Nils.,18,0.14285714285714285
200,E.Lektor.Quiz,18,0.13636363636363635
201,The.Little.Orchard,18,0.13559322033898305
202,Little.Thunder.Witch,18,0.13559322033898305
203,What.s.Missing.,18,0.125
204,Book.of.Mormon.Challenge,18,0.125
205,Who.Lives.Where.,18,0.125
206,Bingory,18,0.125
207,Eye.Found.It..Journey.Through.Time,18,0.12280701754385964
208,Polly.the.Porcupine,18,0.1206896551724138
209,Dungeons...Dragons..Temple.of.Elemental.Evil.Board.Game,19,0.2
210,Dungeons...Dragons.Basic.Game,19,0.1694915254237288
211,Dungeon.Twister,19,0.16923076923076924
212,Dungeons...Dragons..Wrath.of.Ashardalon.Board.Game,19,0.16923076923076924
213,Dungeons...Dragons..The.Legend.of.Drizzt.Board.Game,19,0.16666666666666666
214,DeathMaze,19,0.16129032258064516
215,Mertwig.s.Maze,19,0.15517241379310345
216,Dungeon.Saga..Dwarf.King.s.Quest,19,0.15384615384615385
217,Dungeon.Bash,19,0.15254237288135594
218,Dungeons...Dragons.Adventure.Game,19,0.15254237288135594
219,Word.Yahtzee,20,0.13559322033898305
220,V.Game.of.Five.Thousand,20,0.12727272727272726
221,Zilch,20,0.12727272727272726
222,Yahtzee.Free.for.All,20,0.12727272727272726
223,Six.Cubes,20,0.125
224,Yahtzee.Steal.the.Deal,20,0.125
225,Yahtzee.Deluxe.Poker,20,0.12280701754385964
226,Cosmic.Wimpout,20,0.12280701754385964
227,Casino.Yahtzee,20,0.12280701754385964
228,Dice.10.000,20,0.12280701754385964
229,Scene.It..Doctor.Who,21,0.15517241379310345
230,Trivial.Pursuit.Music.Master.Game..The..60s.Edition,21,0.15254237288135594
231,Trivial.Pursuit..Tim.Burton.s.The.Nightmare.Before.Christmas.Quick.Play.Collector.s.Edition,21,0.15254237288135594
232,Scene.It..Harry.Potter.Deluxe,21,0.15
233,Scene.It..Pirates.of.the.Caribbean,21,0.14754098360655737
234,Trivial.Pursuit..DVD.Pop.Culture.Game,21,0.14035087719298245
235,The.Game.of.Life..Pirates.of.the.Caribbean,21,0.14035087719298245
236,Scene.it..Jr.,21,0.14035087719298245
237,Scene.It..Disney,21,0.14035087719298245
238,Scene.It..Squabble,21,0.14035087719298245
239,Trivial.Pursuit..DVD,21,0.14035087719298245
240,Scene.It..Friends.Deluxe.Edition,21,0.14035087719298245
241,Scene.it..Disney.Deluxe.Edition,21,0.14035087719298245
242,Scene.It..Disney.Second.Edition,21,0.14035087719298245
243,Scene.It..Deluxe.Disney.Channel.Edition,21,0.14035087719298245
244,Scene.It..Disney.Super.Game.Pack,21,0.14035087719298245
245,De.Vulgari.Eloquentia,22,0.234375
246,Renaissance,22,0.2153846153846154
247,Princes.of.the.Renaissance,22,0.2112676056338028
248,Machiavelli,22,0.20833333333333334
249,Princeps.Machiavelli,22,0.203125
250,Venetia,22,0.16666666666666666
251,Shogun.1,22,0.15625
252,Age.of.Renaissance,22,0.15254237288135594
253,Carcassonne..Wheel.of.Fortune,22,0.14035087719298245
254,The.Princes.of.Florence,22,0.13793103448275862
255,Domenica.Sportiva,23,0.15517241379310345
256,Formula.D,23,0.14516129032258066
257,Win..Place...Show,23,0.13793103448275862
258,Rules.of.the.Game,23,0.13793103448275862
259,Famous.First.Downs..The.World.s.Smallest.Football.Game,23,0.13333333333333333
260,Famous.Flagships..The.World.s.Smallest.Yacht.Racing.Game,23,0.12903225806451613
261,The.Tour,23,0.12727272727272726
262,Olympia,23,0.12727272727272726
263,Cyclo,23,0.12727272727272726
264,Mulligan.Dice.Golf,23,0.12727272727272726
265,Quixo,24,0.1694915254237288
266,Blokus,24,0.14754098360655737
267,Mini.Shogi,24,0.14285714285714285
268,Volo,24,0.14035087719298245
269,Let.s.Catch.the.Lion.,24,0.13559322033898305
270,Tixel,24,0.13559322033898305
271,Amazons,24,0.12727272727272726
272,Gonnect,24,0.12727272727272726
273,Avverso,24,0.12727272727272726
274,Pentactic,24,0.12727272727272726
275,Talpa,24,0.12727272727272726
276,Morelli,24,0.12727272727272726
277,Heptalion,24,0.12727272727272726
278,DuploHex,24,0.12727272727272726
279,CV,25,0.11864406779661017
280,Munchkin.Steampunk,25,0.11666666666666667
281,Munchkin,25,0.11458333333333333
282,Adventure.Time.Card.Wars..Princess.Bubblegum.vs..Lumpy.Space.Princess,25,0.10909090909090909
283,Transformers.Battling.Card.Game,25,0.10714285714285714
284,Food.Fight.1,25,0.10714285714285714
285,Pirates.Code,25,0.10714285714285714
286,City.of.Iron,25,0.10606060606060606
287,Ascension..Rise.of.Vigil,25,0.10526315789473684
288,Abyss,25,0.10344827586206896
