row_names,document,topic,gamma
168,Bram.Stoker.s.Dracula..The.Board.Game,15,0.1206896551724138
169,Walkers,15,0.1206896551724138
170,The.Walking.Dead.Board.Game..The.Best.Defense,15,0.1206896551724138
171,Munchkin..The.Nightmare.Before.Christmas,15,0.1206896551724138
172,Arkham.Horror..The.Card.Game,15,0.1194029850746268
173,Buffy.the.Vampire.Slayer..The.Board.Game,15,0.1186440677966101
174,Student.Bodies,15,0.1186440677966101
175,Orcs.Must.Die..The.Board.Game..Order.Edition,15,0.1186440677966101
176,Karmaka,16,0.135593220338983
177,Daimyo.s.Fall,16,0.1311475409836065
178,Gingerdead.House,16,0.125
179,Paperback,16,0.1228070175438596
180,Carthage,16,0.1228070175438596
181,Foe.Hunters,16,0.1206896551724138
182,Nightfall..The.Coldest.War,16,0.1186440677966101
183,Avoid.the.Void,16,0.1186440677966101
184,The.Edge..Dawnfall,16,0.1176470588235294
185,Oppai.Go,16,0.1166666666666666
186,Bastogne..A.Desperate.Defense,17,0.1694915254237288
187,A.Victory.Lost,17,0.1666666666666666
188,Arnhem..The.Farthest.Bridge,17,0.1578947368421052
189,Race.for.Berlin..The.Final.Struggle,17,0.1551724137931034
190,X1940..What.If.Germany.Went.East.,17,0.15
191,Battle.for.Moscow..second.edition.,17,0.15
192,A.Victory.Denied,17,0.1475409836065573
193,Cherkassy.Pocket..Encirclement.at.Korsun,17,0.1428571428571428
194,Moscow.1941..The.Enemy.at.the.Gates,17,0.1428571428571428
195,Panzer.Grenadier..Road.to.Berlin,17,0.1428571428571428
196,Four.Roads.to.Moscow,17,0.1428571428571428
197,Paul.Koenig.s.Market.Garden..Arnhem.Bridge,17,0.1428571428571428
198,Green.Hell..Burma.1944.1945.,17,0.1428571428571428
199,Ab.ins.Bett..Nils.,18,0.1428571428571428
200,E.Lektor.Quiz,18,0.1363636363636363
201,The.Little.Orchard,18,0.135593220338983
202,Little.Thunder.Witch,18,0.135593220338983
203,What.s.Missing.,18,0.125
204,Book.of.Mormon.Challenge,18,0.125
205,Who.Lives.Where.,18,0.125
206,Bingory,18,0.125
207,Eye.Found.It..Journey.Through.Time,18,0.1228070175438596
208,Polly.the.Porcupine,18,0.1206896551724138
209,Dungeons...Dragons..Temple.of.Elemental.Evil.Board.Game,19,0.2
210,Dungeons...Dragons.Basic.Game,19,0.1694915254237288
211,Dungeon.Twister,19,0.1692307692307692
212,Dungeons...Dragons..Wrath.of.Ashardalon.Board.Game,19,0.1692307692307692
213,Dungeons...Dragons..The.Legend.of.Drizzt.Board.Game,19,0.1666666666666666
214,DeathMaze,19,0.1612903225806451
215,Mertwig.s.Maze,19,0.1551724137931034
216,Dungeon.Saga..Dwarf.King.s.Quest,19,0.1538461538461538
217,Dungeon.Bash,19,0.1525423728813559
218,Dungeons...Dragons.Adventure.Game,19,0.1525423728813559
219,Word.Yahtzee,20,0.135593220338983
220,V.Game.of.Five.Thousand,20,0.1272727272727272
221,Zilch,20,0.1272727272727272
222,Yahtzee.Free.for.All,20,0.1272727272727272
223,Six.Cubes,20,0.125
224,Yahtzee.Steal.the.Deal,20,0.125
225,Yahtzee.Deluxe.Poker,20,0.1228070175438596
226,Cosmic.Wimpout,20,0.1228070175438596
227,Casino.Yahtzee,20,0.1228070175438596
228,Dice.10.000,20,0.1228070175438596
229,Scene.It..Doctor.Who,21,0.1551724137931034
230,Trivial.Pursuit.Music.Master.Game..The..60s.Edition,21,0.1525423728813559
231,Trivial.Pursuit..Tim.Burton.s.The.Nightmare.Before.Christmas.Quick.Play.Collector.s.Edition,21,0.1525423728813559
232,Scene.It..Harry.Potter.Deluxe,21,0.15
233,Scene.It..Pirates.of.the.Caribbean,21,0.1475409836065573
234,Trivial.Pursuit..DVD.Pop.Culture.Game,21,0.1403508771929824
235,The.Game.of.Life..Pirates.of.the.Caribbean,21,0.1403508771929824
236,Scene.it..Jr.,21,0.1403508771929824
